Atlanta Hawks,ATL,East,Southeast,atl,State Farm Arena,,,,
Boston Celtics,BOS,East,Atlantic,bos,TD Garden,,,,
Brooklyn Nets,BKN,East,Atlantic,bkn,Barclays Center,,,,
Charlotte Hornets,CHA,East,Southeast,cha,Spectrum Center,,,,
Chicago Bulls,CHI,East,Central,chi,United Center,,,,
Cleveland Cavaliers,CLE,East,Central,cle,Rocket Mortgage FieldHouse,,,,
Dallas Mavericks,DAL,West,Southwest,dal,American Airlines Center,,,,
Denver Nuggets,DEN,West,Northwest,den,Ball Arena,,,,
Detroit Pistons,DET,East,Central,det,Little Caesars Arena,,,,
Golden State Warriors,GSW,West,Pacific,gsw,Chase Center,,,,
Houston Rockets,HOU,West,Southwest,hou,Toyota Center,,,,
Indiana Pacers,IND,East,Central,ind,Gainbridge Fieldhouse,,,,
LA Clippers,LAC,West,Pacific,lac,Intuit Dome,,,,
Los Angeles Lakers,LAL,West,Pacific,lal,Crypto.com Arena,,,,
Memphis Grizzlies,MEM,West,Southwest,mem,FedExForum,,,,
Miami Heat,MIA,East,Southeast,mia,FTX Arena,,,,
Milwaukee Bucks,MIL,East,Central,mil,Fiserv Forum,,,,
Minnesota Timberwolves,MIN,West,Northwest,min,Target Center,,,,
New Orleans Pelicans,NOP,West,Southwest,nop,Smoothie King Center,,,,
New York Knicks,NYK,East,Atlantic,nyk,Madison Square Garden,,,,
Oklahoma City Thunder,OKC,West,Northwest,okc,Paycom Center,,,,
Orlando Magic,ORL,East,Southeast,orl,Amway Center,,,,
Philadelphia 76ers,PHI,East,Atlantic,phi,Wells Fargo Center,,,,
Phoenix Suns,PHX,West,Pacific,phx,Footprint Center,,,,
Portland Trail Blazers,POR,West,Northwest,por,Moda Center,,,,
Sacramento Kings,SAC,West,Pacific,sac,Golden 1 Center,,,,
San Antonio Spurs,SAS,West,Southwest,sas,AT&T Center,,,,
Toronto Raptors,TOR,East,Atlantic,tor,Scotiabank Arena,,,,
Utah Jazz,UTA,West,Northwest,uta,Vivint Arena,,,,
Washington Wizards,WAS,East,Southeast,was,Capital One Arena,,,,
